"name";"url";"prc";"oldprc";"stk";"num";"var";"act";"hit";"brd";"cat";"relp";"vimg";"cur";"imgs";"shdesc";"desc";"mett";"metd";"metk";"diagekr";"akamulatorl";"razekr";"PitanieLiIon";"cveta";"ves";"multysimcard";"corpstype";"operazionajsistema";"gps";"kamera";"podderzhkakartpamjati";"zastotaprozesora";"podderzkakartpamjati";"operativnayapamyat";"kolichestvoprocessorov";"besprovodnayacvyaz";"korpys"
"Nokia Asha 302 White";"nokia-asha-302-white";"1010";"0";"1";"20014";"";"1";"0";"Nokia";"Телефония, МР3-плееры, GPS/Телефоны/Мобильные телефоны";"";"1023_main_origin.jpg";"1";"1023_0.jpg|1023_1.jpg|1023_2.jpg|1023_3.jpg|1023_4.jpg";"Сочетание высококачественных материалов и эстетики делает&nbsp;Nokia Asha 302&nbsp;стоящим внимания. Сделанный из пластика, он выглядит так, будто его корпус выполнен из металла. Но речь идет не только о внешности — тщательно разработанные навигационные клавиши также обеспечивают легкую прокрутку и навигацию.<br>  ";"<div><strong><div><div><table><tbody><tr><td>Камера</td><td>3.2 Mpx</td></tr><tr><td>Диcплей</td><td>Экран 2,4""</td></tr><tr><td>Процессор</td><td>Процессор 1 Ггц</td></tr><tr><td>Поддержка карт памяти</td><td>microSD до 32 Гб</td></tr><tr><td>Беспроводные технологии</td><td>Wi-Fi, 3G, Bluetooth</td></tr></tbody></table></div><div></div></div><div><div><div><h3>Основные</h3><table><tbody><tr><td>Тип устройства</td><td>Мобильный телефон</td></tr><tr><td>Операционная система</td><td>Без ОС</td></tr><tr><td>Диагональ экрана</td><td>2.4""</td></tr><tr><td>Сенсорный экран</td><td>Нет</td></tr><tr><td>Количество SIM-карт</td><td>1 SIM</td></tr><tr><td>Формат SIM-карты</td><td>Стандартная</td></tr><tr><td>Тип корпуса</td><td>Моноблок</td></tr><tr><td>Материал корпуса</td><td>Пластик</td></tr></tbody></table><div></div></div><div><h3>Экран</h3><table><tbody><tr><td>Разрешение экрана</td><td>240x320</td></tr><tr><td>Тип экрана</td><td>TFT</td></tr><tr><td>Количество цветов</td><td>262 тысячи</td></tr></tbody></table><div></div></div><div><h3>Процессор</h3><table><tbody><tr><td>Процессор</td><td>1 ГГц</td></tr></tbody></table><div></div></div><div><h3>Камера</h3><table><tbody><tr><td>Камера</td><td>3.2 Mpx</td></tr><tr><td>Запись видео</td><td>Да</td></tr><tr><td>Фронтальная камера</td><td>Нет</td></tr></tbody></table><div></div></div><div><h3>Память</h3><table><tbody><tr><td>Внутренняя память</td><td>128 Мб</td></tr><tr><td>Оперативная память</td><td>256 Мб</td></tr><tr><td>Поддержка карт памяти</td><td>microSD до 32 Гб</td></tr></tbody></table><div></div></div></div><div><div><h3>Беспроводные технологии</h3><table><tbody><tr><td>Bluetooth</td><td>Bluetooth 2.1</td></tr><tr><td>Wi-Fi</td><td>IEEE 802.11 b/g/n</td></tr><tr><td>GPS</td><td>нет</td></tr></tbody></table><div></div></div><div><h3>Развлечения и мультимедиа</h3><table><tbody><tr><td>FM-тюнер</td><td>Есть</td></tr><tr><td>MP3-плеер</td><td>Есть</td></tr></tbody></table><div></div></div><div><h3>Интерфейсы</h3><table><tbody><tr><td>Интерфейсы и подключения</td><td>microUSB</td></tr></tbody></table><div></div></div><div><h3>Аккумулятор</h3><table><tbody><tr><td>Емкость аккумулятора</td><td>1320 mAh</td></tr><tr><td>Время работы в режиме разговора</td><td>9 часов</td></tr><tr><td>Время работы в режиме ожидания</td><td>707 часов</td></tr></tbody></table><div></div></div><div><h3>Прочее</h3><table><tbody><tr><td>Органайзер</td><td>Календарь, контакты, музыкальный плеер, социальные сети, браузер</td></tr><tr><td>SMS/EMS/MMS/E-mail</td><td>SMS&nbsp;<br>MMS+SMIL&nbsp;<br>AMS&nbsp;<br>Мгновенные сообщения</td></tr><tr><td>Стандарты и технологии</td><td>GSM: 850/ 900/1800/1900 МГц, HSPA/WCDMA: 900/2100 МГц</td></tr><tr><td>Размеры и вес</td><td>Высота - 116,5 мм.&nbsp;<br>Ширина 55,7 - мм.&nbsp;<br>Толщина - 13,9 мм.<br>Вес - 99 граммов</td></tr><tr><td>Комплектация</td><td>Телефон<br>Аккумулятор Nokia Battery BL-5J<br>Гарнитура Nokia Wired headset WH-102<br>ЗУ Nokia Charger AC-11<br>документация</td></tr></tbody></table></div></div></div>  <table><tbody></tbody></table></strong></div>  ";"";"";"";"";"";"";"от 1000 до 1500 mAh";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"Мобильный телефон Alcatel DS 10.60 Dual SIM";"mobilnyi-telefon-alcatel-ds-1060-dual-sim";"100";"0";"0";"200206";"Мобильный телефон Alcatel DS 10.60 Dual SIM";"1";"";"Alcatel";"Телефония, МР3-плееры, GPS/Телефоны/Мобильные телефоны";"";"5596_main_origin.jpg";"2";"";"<ul><li> Дисплей QVGA, 1.8, 128 х 160 пикселей, 65 000 оттенков</li><li> GPRS, Bluetooth</li><li> Габариты 107 x 46 x 12 мм</li></ul>";"<ul>    <li>Дисплей QVGA, 1.8, 128 х 160 пикселей, 65 000 оттенков</li>    <li>GPRS, Bluetooth</li>    <li>Габариты: 107 x 46 x 12 мм</li>    <li>Диктофон</li>    <li>Black list</li></ul>";"";"";"";"1,8";"";"160х128";"от 400 до 800 mAh";"";"";"2";"Моноблок";"";"";"";"";"";"";"";"";"";""
"Мобильный телефон Fly DS103D Duos Black";"mobilnyi-telefon-fly-ds103d-duos-black";"100";"0";"0";"200211";"Мобильный телефон Fly DS103D Duos Black";"1";"";"Fly";"Телефония, МР3-плееры, GPS/Телефоны/Мобильные телефоны";"";"5602_main_origin.jpg";"2";"";"<ul><li> Дисплей TFT, 128 х 160 пикселей, 262 000 оттенков</li><li> USB</li><li> Габариты 110 х 46.5 х 15.4 мм</li></ul>";"<ul>    <li>Поддержка двух SIM-карт</li>    <li>Телефон с классическим корпусом</li>    <li>Диагональ экрана 1.77 , разрешение 128 x 160</li>    <li>Без камеры</li>    <li>Карты памяти micro SDHC до 32 GB</li>    <li>MP3-проигрыватель, радиоприемник</li></ul>";"";"";"";"1,7";"";"160х128";"от 800 до 1000 mAh";"";"";"2";"Моноблок";"";"";"";"";"";"";"";"";"";""
"Мобильный телефон Fly B300 Duos Grey";"mobilnyi-telefon-fly-b300-duos-grey";"100";"0";"0";"200216";"Мобильный телефон Fly B300 Duos Grey";"1";"";"Fly";"Телефония, МР3-плееры, GPS/Телефоны/Мобильные телефоны";"";"5603_main_origin.jpg";"2";"5603_0.jpg|5603_1.jpg";"<ul><li> Дисплей TFT, 240 х 320 пикселей, 262000оттенков</li><li> WAP, GPRS, Bluetooth</li><li> Габариты 115.85 х 51 х 11.3 мм</li></ul>";"<p>Fly B300 разработан для деловых людей, ценящих элегантный дизайн и функциональность мобильного телефона. Аппарат выполнен в форме классического моноблока из черного пластика. На лицевой панели расположены удобную клавиатуру с выделенным блоком функциональных клавиш. Обратная панель корпуса имеет покрытие soft-touch, а также удобный выступ в нижней части крышки, благодаря которому аппарат удобно располагается в руке.<br>В верхней грани Fly B300 расположены разъем 3.5 мм для наушников. Что касается micro-USB, - он прикрыт заглушкой и расположен на правой грани - между переключателем громкости и кнопкой спуска затвора камеры.<br> <br>Новинка может похвастаться наличием встроенного звукового процессора Yamaha, благодаря которому пользователи смогут в полном объеме насладиться звучанием любимых композиций. Камера 3.2 Мпикс. оборудована цифровым зумом и позволяет записывать видео. В аппарате присутствуют аудио-и видео-плеер, способные воспроизводить файлы популярных форматов. К тому же можно расширить возможности хранения данных благодаря поддержке карт памяти microSDHC.<br> <br>Как и положено мобильному телефону бизнес-класса, Fly B300 предлагает широкий набор возможностей для работы с мобильным Интернетом: WAP-доступ и GPRS-модем, EDGE, Bluetooth и поддержку Java. Кроме того, пользователь получит набор приложений Fly: buzz. В телефоне используется браузер Opera Mobile, а для синхронизации контактов предусмотрена функция SyncML.<br> <br>Батарея Fly B300 позволит в течение 4 часов работать в режиме разговора или 220 часов находиться в режиме ожидания.</p>";"";"";"";"2,4";"";"320х240";"от 800 до 1000 mAh";"";"от 80 до 100 г.";"2";"Моноблок";"";"";"";"";"";"";"";"";"";""
"Мобильный телефон Fly DS103 Duos Grey";"mobilnyi-telefon-fly-ds103-duos-grey";"100";"0";"0";"200217";"Мобильный телефон Fly DS103 Duos Grey";"1";"";"Fly";"Телефония, МР3-плееры, GPS/Телефоны/Мобильные телефоны";"";"5604_main_origin.jpg";"2";"";"<ul><li> Дисплей TFT, 128 x 160 пикселей</li><li> Габариты 110 х 46.5 х 15.4 мм</li></ul>";"<p>Мобильный телефон на 2 карты в аскетичном и удобном корпусе - идеальное решение для деловых и уверенных в себе людей.</p><p><strong>Органайзер:</strong></p><ul>    <li>Календарь</li>    <li>Будильник</li>    <li>Задания</li>    <li>Напоминания</li>    <li>Калькулятор</li>    <li>Мировое время</li></ul><p> </p>";"";"";"";"1,7";"";"160х128";"от 800 до 1000 mAh";"";"";"2";"Моноблок";"";"";"";"";"";"";"";"";"";""
"Мобильный телефон Fly E185 Black Bronze";"mobilnyi-telefon-fly-e185-black-bronze";"100";"0";"0";"200218";"Мобильный телефон Fly E185 Black Bronze";"1";"";"Fly";"Телефония, МР3-плееры, GPS/Телефоны/Мобильные телефоны";"";"5605_main_origin.jpg";"2";"";"<ul><li> Дисплей TFT, 240 х 400 пикселей, 262000 оттенков</li><li> WAP, GPRS, EDGE, Bluetooth, USB</li><li> Габариты 107.8 x 53.6 x 12.6 мм</li></ul>";"<p>Fly E185 выполнен в классической форме моноблока с резистивным сенсорным экраном и единственной функциональной клавишей на лицевой панели. Телефон отличается полукруглыми формами верхней и нижней кромки, которая придает гаджету компактности. На обратной стороне телефона расположена камера 3.2 Мпкс.<br> <br>Fly E185 отличается традиционным для аппаратов этой линейки набором мультимедийных возможностей. Аудио и видеоплеер позволят воспроизвести файлы большинства популярных форматов. Фотокамера с цифровым зумом позволит выбрать эффекты для концептуальной съемки. А наличие слота для карт памяти формата SDHC превратит Fly E185 в удобную и достаточно вместительную «флэшку». Для любителей почитать новинка была оборудована программой для чтения электронных книг, E-book.<br> <br>Наличие WAP-доступа, GPRS-модема и EDGE открывает путь к непрерывной работе с мобильным интернетом. Удобными помощниками в этом деле станут также предустановленные браузер OperaMini, E-mail клиент, Java, а также IM для работы с социальными сетями.<br> <br>Телефонная книга с памятью на 500 номеров, в случае необходимости, может быть удобно синхронизирована благодаря программе SyncML.<br> <br>Новинка Fly E185 порадует владельца универсальными разъемами micro USB и 3.5 мм для наушников.<br>а батарея емкостью 1000 мАч подарит до 4 часов непрервного общения или около 500 часов в режиме ожидания.</p>";"";"";"";"3,2";"";"400x240";"от 1000 до 1500 mAh";"";"от 80 до 100 г.";"2";"Моноблок";"";"";"";"";"";"";"";"";"";""
"Мобильный телефон Fly E176 Duos Silver";"mobilnyi-telefon-fly-e176-duos-silver";"100";"0";"0";"200219";"Мобильный телефон Fly E176 Duos Silver";"1";"";"Fly";"Телефония, МР3-плееры, GPS/Телефоны/Мобильные телефоны";"";"5606_main_origin.jpg";"2";"5606_0.jpg|5606_1.jpg|5606_2.jpg";"<ul><li> Дисплей TFT, 240 х 320 пикселей, 262144 оттенков</li><li> WAP, GPRS, Bluetooth, EDGE, USB</li><li> Габариты 114 x 49 x 10.8 мм</li></ul>";"<p>Fly E176 создан как мультимедийный аппарат с массой положительных способностей. Одно из самых заметных - его внешность: разработчики поместили Fly E176 в стальной стильный корпус, придав аппарату фантастический загадочный вид. Создается впечатление, что в руках держишь не мобильный телефон, а миниатюрную ракету. И ты осознаешь это уже тогда, когда видишь его впервые. Познакомившись поближе, понимаешь: ты был прав, сравнив Fly E176 с ракетой. Потому как работоспособность у этого металлизированного аппарата хорошая, да и функционалом он наполнен более чем.</p><p>TFT дисплей Fly E176, занимая большую половину лица телефона, напоминает 2.4-дюймовый иллюминатор, отражающий более 260 тысяч цветов. На таком окошке просмотр видео и фото становится увлекательнее и ярче. Встроенной памяти немного, но общий объем может доходить до 16 GB за счет употребления карт памяти microSDHC. В качестве топлива в телефоне используется емкий аккумулятор, благодаря которому ваши разговоры продлятся до 8 часов, а в режиме ожидания аппарат может пребывать до 250 часов.</p><p>Как же в ракете без возможности пофотографировать? Во Fly E176 встроена 2-мегапиксельная фотокамера 1600x1200 пикселей с цифровым зумом и разнообразными режимами и эффектами, есть веб-камера для общения с друзьями. <br>Среди развлечений, в телефоне Fly E176 предусмотрены аудиоплеер с усилителем Yamaha и SRS WOW HD, FM-радио, видеоплеер, JAVA, интернет. Кроме того, Fly E176 поддерживает работу двух SIM-карт в режиме ожидания.</p>";"";"";"";"2,4";"";"320х240";"от 800 до 1000 mAh";"";"от 100 до 150 г.";"2";"Моноблок";"";"";"";"";"";"";"";"";"";""
"Мобильный телефон Fly E133 Duos White";"mobilnyi-telefon-fly-e133-duos-white";"100";"0";"0";"200235";"Мобильный телефон Fly E133 Duos White";"1";"";"Fly";"Телефония, МР3-плееры, GPS/Телефоны/Мобильные телефоны";"";"5622_main_origin.jpg";"2";"";"<ul><li> Дисплей TFT, 240 х 320 пикселей, 262000 оттенков</li><li> WAP, GPRS, Bluetooth, USB</li><li> Габариты 92 x 52 x 14 мм</li></ul>";"<p><strong>Ключевые характеристики:<br></strong></p><ul>    <li>Корпус классический</li>    <li>Дисплей: TFT, 2.4, сенсорный, 240x320 пикселей, 262K цветов</li>    <li>Полифония: 64 тона</li>    <li>Память: встроенная 64 MB</li>    <li>Слот расширения для карт памяти microSD</li>    <li>WAP, GPRS, Bluetooth, USB</li>    <li>FM радио</li>    <li>Mp3 плеер</li>    <li>Видеоплеер</li>    <li>Фотокамера: 0.3 мегапикселя</li></ul>";"";"";"";"2,4";"";"320х240";"от 800 до 1000 mAh";"";"от 80 до 100 г.";"2";"Моноблок";"";"";"";"";"";"";"";"";"";""
"Мобильный телефон Fly E141 TV Dual SIM Black";"mobilnyi-telefon-fly-e141-tv-dual-sim-black";"55";"";"1";"200236";"Мобильный телефон Fly E141 TV Dual SIM Black";"1";"";"Fly";"Телефония, МР3-плееры, GPS/Телефоны/Мобильные телефоны";"";"5623_main_origin.jpg";"2";"5623_0.jpg|5623_1.jpg|5623_2.jpg";"<ul><li> Дисплей TFT, 240 х 320 пикселей, 65 000 оттенков</li><li> WAP, GPRS, Bluetooth</li><li> Габариты 104 x 57 x 13.3 мм</li></ul>";"<ul>    <li>Бюджетный класс</li>    <li>Корпус моноблок</li>    <li>Антенна встроенная</li>    <li>Стандарты: GSM 900/1800/1900</li>    <li>Основной дисплей: TFT, 2.8, сенсорный, 240x320 пикселей, 65000 цветов</li>    <li>Внешний дисплей: нет</li>    <li>Полифония: 64 тона</li>    <li>Память: встроенная 45 КB, слот расширения для карт памяти microSDHC</li>    <li>Телефонная книга</li>    <li>Передача данных: GPRS, WAP, Bluetooth, USB</li>    <li>Мобильный интернет WAP 2.0</li>    <li>Фотокамера: 640x480, 0.3 мегапикселя, зум</li>    <li>FM радио</li>     </ul>";"";"";"";"2,8";"";"320х240";"от 800 до 1000 mAh";"";"от 80 до 100 г.";"2";"Моноблок";"";"";"";"";"";"";"";"";"";""
"Мобильный телефон Fly E141 TV Dual SIM White";"mobilnyi-telefon-fly-e141-tv-dual-sim-white";"55";"";"1";"200237";"Мобильный телефон Fly E141 TV Dual SIM White";"1";"";"Fly";"Телефония, МР3-плееры, GPS/Телефоны/Мобильные телефоны";"";"5624_main_origin.jpg";"2";"5624_0.jpg|5624_1.jpg|5624_2.jpg";"<ul><li> Дисплей TFT, 240 х 320 пикселей, 65 000 оттенков</li><li> WAP, GPRS, Bluetooth</li><li> Габариты 104 x 57 x 13.3 мм</li></ul>";"<ul>    <li>Бюджетный класс</li>    <li>Корпус моноблок</li>    <li>Антенна встроенная</li>    <li>Стандарты: GSM 900/1800/1900</li>    <li>Основной дисплей: TFT, 2.8, сенсорный, 240x320 пикселей, 65000 цветов</li>    <li>Внешний дисплей: нет</li>    <li>Полифония: 64 тона</li>    <li>Память: встроенная 45 КB, слот расширения для карт памяти microSDHC</li>    <li>Телефонная книга</li>    <li>Передача данных: GPRS, WAP, Bluetooth, USB</li>    <li>Мобильный интернет WAP 2.0</li>    <li>Фотокамера: 640x480, 0.3 мегапикселя, зум</li>    <li>FM радио</li>     </ul>";"";"";"";"2,8";"";"320х240";"от 800 до 1000 mAh";"";"от 80 до 100 г.";"2";"Моноблок";"";"";"";"";"";"";"";"";"";""
